estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Amazonas,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X",Proyecto u organización sin figura jurídica,"Deporte local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Amazonas,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, TV transmitida vía web",Privado,"Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad","Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Amazonas,"Canal o grupo de mensajería en Whatsapp, Cuenta en Facebook, Radio (AM o FM)",Proyecto u organización sin figura jurídica,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Amazonas,"Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad, Venta de productos y servicios",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Amazonas,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Periódico (impreso)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Aportes monetarios de los fundadores y/o el equipo,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Amazonas,"Canal o grupo de mensajería en Whatsapp, Cuenta en Facebook, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Aportes monetarios de los fundadores y/o el equipo,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Amazonas,"Canal o grupo de mensajería en Whatsapp, Cuenta en Facebook, Podcast, Radio (AM o FM)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Amazonas,Cuenta en Instagram,No se maneja esta información,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Amazonas,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Anzoátegui,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Proyecto u organización sin figura jurídica,Cubrimos todas las fuentes ,Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Anzoátegui,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Podcast, Portal web de noticias",Privado,General ,No sabe / Prefiere no responder,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Anzoátegui,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Privado,"Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Anzoátegui,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X",Privado,"Gobierno y política local, salud, transporte, educación, deporte local, economía local, ",Aportes monetarios de los fundadores y/o el equipo,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Anzoátegui,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web","Organización sin fines de lucro (asociación civil, fundación, ONG)","Temas sociales locales (como salud, educación, transporte, servicios públicos)",No sabe / Prefiere no responder,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Anzoátegui,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Subvenciones o financiamiento internacional, Venta de productos y servicios",No ha enfrentado este tipo de situaciones
Anzoátegui,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Privado,"Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad",No ha enfrentado este tipo de situaciones
Anzoátegui,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM)",Privado,"Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad, Venta de productos y servicios",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Anzoátegui,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Subvenciones o financiamiento internacional, Venta de productos y servicios",No se maneja esta información
Anzoátegui,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Anzoátegui,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Anzoátegui,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Anzoátegui,Cuenta en Instagram,Privado,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Anzoátegui,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Anzoátegui,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Anzoátegui,"Cuenta en Facebook, Cuenta en X, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Apure,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Proyecto u organización sin figura jurídica,"Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Apure,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Apure,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Eventos, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Apure,"Cuenta en Facebook, Cuenta en TikTok, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Talleres / Capacitaciones","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Apure,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias, Radio (AM o FM)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad, Subvenciones o financiamiento internacional, Talleres / Capacitaciones","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Apure,"Cuenta en Instagram, Cuenta en X, Periodismo cara a cara","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Subvenciones o financiamiento internacional,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Apure,Canal o grupo de mensajería en Whatsapp,Comunitario,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Apure,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Privado,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No ha enfrentado este tipo de situaciones
Apure,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Podcast, TV (señal abierta o cable)",Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Apure,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad, Talleres / Capacitaciones",No ha enfrentado este tipo de situaciones
Apure,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",Privado,"Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Apure,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad), No ha enfrentado este tipo de situaciones"
Apure,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Apure,"Canal o grupo de mensajería en Whatsapp, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Apure,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local",No se maneja esta información,No se maneja esta información
Apure,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Apure,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Apure,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Apure,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Estatal,"Arte y cultura local, Deporte local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Fondos gubernamentales, Publicidad",No se maneja esta información
Apure,"Cuenta en Instagram, Cuenta en TikTok, Cuenta en Youtube, TV (señal abierta o cable)",Estatal,"Arte y cultura local, Deporte local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Apure,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en TikTok, Podcast, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Apure,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable)",Privado,"Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
